2025-01-14 14:05:54,339 - INFO - Starting grid search for IDM parameters...
2025-01-14 14:05:55,340 - INFO - Run optimization...
2025-01-14 14:11:03,972 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=2.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.7001
2025-01-14 14:11:06,560 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=2.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.4203
2025-01-14 14:11:08,763 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=2.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.2566
2025-01-14 14:11:11,427 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=2.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.1421
2025-01-14 14:11:11,987 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=2.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.8799
2025-01-14 14:11:13,527 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=2.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.3117
2025-01-14 14:11:16,931 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=2.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.2927
2025-01-14 14:11:18,015 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=2.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.2717
2025-01-14 14:11:21,741 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=2.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.5827
2025-01-14 14:11:28,108 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=2.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.3696
2025-01-14 14:11:31,447 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=2.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=1.1430
2025-01-14 14:12:39,198 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=3.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0574
2025-01-14 14:12:41,083 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=3.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.2897
2025-01-14 14:12:45,700 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=3.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.4123
