Time Gap (s),Secondary Merges
1.09,0
1.09,0
7.49,2
4.29,0
4.22,1
5.86,1
9.15,1
9.50,2
10.18,2
5.28,1
5.38,1
12.32,3
1.60,0
8.61,1
7.04,1
11.87,2
19.71,4
7.49,1
2.14,0
5.82,1
8.58,1
2.66,0
8.58,3
0.54,0
15.04,4
5.92,1
4.32,0
1.60,0
5.38,1
8.67,2
3.74,0
12.35,2
5.34,1
2.66,0
3.74,0
8.61,1
9.09,1
4.90,0
4.22,1
5.28,1
13.47,2
9.76,2
3.26,0
5.89,1
3.81,1
5.38,1
8.06,2
11.33,1
6.94,1
3.74,0
4.32,0
2.59,0
2.11,0
7.49,1
4.26,1
5.86,1
11.10,2
7.01,0
5.38,1
6.94,2
3.78,0
8.06,2
3.71,0
4.32,0
1.63,0
10.05,2
4.83,0
10.66,1
7.52,1
1.60,0
9.06,1
4.80,1
5.89,1
4.86,1
4.29,0
4.26,0
4.74,0
8.61,2
6.98,1
5.34,1
7.04,1
9.09,2
3.78,1
7.55,1
4.83,1
6.98,1
11.39,2
3.74,0
10.08,2
17.98,3
4.22,1
11.17,2
2.62,0
6.24,1
1.54,0
5.28,1
7.52,1
7.97,2
8.51,2
7.36,1
12.22,1
11.65,2
11.10,2
4.22,1
10.02,0
7.01,2
3.20,0
2.66,0
4.80,0
3.74,0
4.83,1
8.00,2
12.26,1
2.14,0
6.37,2
1.54,0
6.91,1
1.54,0
3.74,1
2.69,0
1.63,0
4.77,0
1.09,0
3.17,0
5.38,1
2.66,0
1.60,0
9.54,3
4.35,0
5.28,1
8.00,2
6.27,1
7.49,1
2.11,0
9.54,3
4.22,0
2.11,0
6.40,2
8.48,1
5.31,1
5.92,0
4.80,1
1.06,0
1.06,0
6.40,1
7.49,1
10.62,1
3.20,0
8.48,1
7.46,0
6.94,2
4.86,0
5.89,1
5.31,1
2.11,0
9.57,2
1.02,0
1.63,0
7.39,2
6.91,2
2.08,0
9.50,2
4.77,0
5.92,1
2.14,0
14.78,2
4.86,0
6.30,1
11.71,3
3.14,0
3.84,0
9.02,2
7.23,1
9.15,0
5.15,1
4.64,0
9.15,2
8.51,1
2.08,0
4.10,0
17.79,4
7.39,1
7.36,2
1.02,0
5.25,1
6.34,1
3.14,0
8.93,2
5.89,1
5.89,1
4.26,0
1.09,0
4.74,1
2.62,0
7.33,1
3.68,0
3.68,0
11.10,2
8.96,0
2.59,0
14.88,5
9.57,2
3.20,0
8.42,2
8.38,1
11.04,2
8.96,2
10.02,1
6.34,1
2.11,0
1.09,0
5.25,1
1.57,0
5.79,2
1.57,0
2.59,0
9.50,1
3.14,0
6.94,1
5.82,1
5.28,0
6.37,2
3.68,0
6.82,2
2.08,0
12.26,3
6.98,1
1.06,0
9.98,2
2.11,0
6.37,1
4.16,1
12.58,2
14.18,3
1.06,0
2.14,0
1.54,0
2.62,0
14.69,3
5.89,1
5.28,1
6.30,2
2.08,0
5.25,0
10.05,3
2.08,0
5.82,1
4.74,1
4.67,0
7.68,1
2.05,0
7.46,2
4.16,0
8.29,1
10.40,1
6.75,2
4.16,1
11.49,2
8.83,2
